aen	aː ə n
ëmweltvirschrëften	ə m w æ l d f iː ɐ ʃ ʀ ə f t ə n
ëmwiesselen	ə m v iə s ə l ə n
ëmgewiesselt	ə m g ə v iə s ə l t
ëmzéngelen	ə m ts e ŋ ə l ə n
ëmzéngelt	ə m ts e ŋ ə l t
ëmzuch	ə m ts u χ
ëmzich	ə m ts i ɕ
en	ə n
enaner	ə n aː n ɐ
encadréieren	ɑ̃ː k ɑ d ʀ ɜɪ ə ʀ ə n
encadréiert	ɑ̃ː k ɑ d ʀ ɜɪ ɐ t
encadrement	ɑ̃ː k ɑ d ʀ ə m æ n t
encadrementer	ɑ̃ː k ɑ d ʀ ə m æ n t ɐ
enchantéiert	ɑ̃ː ʃ ɑ̃ː t ɜɪ ɐ t
encouragéieren	ɑ̃ː k u ʀ ɑ ʒ ɜɪ ə ʀ ə n
encouragéiert	ɑ̃ː k u ʀ ɑ ʒ ɜɪ ɐ t
encouragement	ɑ̃ː k u ʀ ɑ ʒ ə m æ n t
encouragementer	ɑ̃ː k u ʀ ɑ ʒ ə m æ n t ɐ
endeffekt	æ n d æ f æ k t
endgülteg	ɑ̃ː d ʒ yː l t ə ɕ
endlech	æ n d l ə ɕ
endlos	æ n d l oː s
endoskop	æ n d o s k oː p
endoskoper	æ n d o s k oː p ɐ
endoskopie	æ n d o s k o p iː
endoskopien	æ n d o s k o p iː ə n
endprodukt	ɑ̃ː d p ʀ o d u k t
endprodukter	ɑ̃ː d p ʀ o d u k t ɐ
endung	æ n d u ŋ
endungen	æ n d u ŋ ə n
eneen	ə n eː n
energesch	e n ɛ ʀ ʒ ə ʃ
energie	e n ɛ ʀ ʒ iː
energien	e n ɛ ʀ ʒ iː ə n
energieleeschtung	e n ɛ ʀ ʒ iː ə l eː ʃ t u ŋ
energieleeschtungen	e n ɛ ʀ ʒ iː ə l eː ʃ t u ŋ ə n
energieleeschtungsklass	e n ɛ ʀ ʒ iː ə l eː ʃ t u ŋ s k l ɑ s
energieleeschtungsklassen	e n ɛ ʀ ʒ iː ə l eː ʃ t u ŋ s k l ɑ s ə n
energiepass	e n ɛ ʀ ʒ iː ə p ɑ s
energiepäss	e n ɛ ʀ ʒ iː ə p æ s
energiepräis	e n ɛ ʀ ʒ iː ə p ʀ æːɪ s
energiepräisser	e n ɛ ʀ ʒ iː ə p ʀ æːɪ s ɐ
energiequell	e n ɛ ʀ ʒ iː k w æ l
energiequellen	e n ɛ ʀ ʒ iː k w æ l ə n
energieverbrauch	e n ɛ ʀ ʒ iː f ɐ b ʀ æːʊ χ
eng	æ ŋ
engagéieren	ɑ̃ː g aː ʒ ɜɪ ə ʀ ə n
engagéiert	ɑ̃ː g aː ʒ ɜɪ ɐ t
engagement	ɑ̃ː g aː ʒ ə m æ n t
engagementer	ɑ̃ː g aː ʒ ə m æ n t ɐ
engel	æ ŋ ə l
engelen	æ ŋ ə l ə n
engem	æ ŋ ə m
enger	æ ŋ ɐ
engersäits	æ ŋ ɐ z æːɪ t s
enges	æ ŋ ə s
england	æ ŋ l ɑ n t
englänner	æ ŋ l æ n ɐ
englännerin	æ ŋ l æ n ə ʀ i n
englännerinnen	æ ŋ l æ n ə ʀ i n ə n
englesch	æ ŋ l ə ʃ
engleschprofesser	æ ŋ l ə ʃ p ʀ o f æ s ɐ
engleschprofesseren	æ ŋ l ə ʃ p ʀ o f æ s ə ʀ ə n
engleschprofessesch	æ ŋ l ə ʃ p ʀ o f æ s ə ʃ
engleschprofesseschen	æ ŋ l ə ʃ p ʀ o f æ s ə ʃ ə n
engleschprofessorin	æ ŋ l ə ʃ p ʀ o f æ s ɔː ʀ i n
engleschprofessorinnen	æ ŋ l ə ʃ p ʀ o f æ s ɔː ʀ i n ə n
engleschproff	æ ŋ l ə ʃ p ʀ o f
engleschproffen	æ ŋ l ə ʃ p ʀ o f ə n
eniichter	e n iː ɕ t ɐ
enk	æ ŋ k
enkel	æ ŋ k ə l
enkelen	æ ŋ k ə l ə n
enkelchen	æ ŋ k ə l ɕ ə n
enkelcher	æ ŋ k ə l ɕ ɐ
enkelin	æ ŋ k ə l i n
enkelinnen	æ ŋ k ə l i n ə n
enkelkand	æ ŋ k ə l k ɑ n t
enkelkanner	æ ŋ k ə l k ɑ n ɐ
enkelkëndchen	æ ŋ k ə l k ə n t ɕ ə n
enkelkënnercher	æ ŋ k ə l k ə n ɐ ɕ ɐ
enn	æ n
enner	æ n ɐ
ënn	ə n
ënnen	ə n ə n
ënnchen	ə n ɕ ə n
ënnercher	ə n ɐ ɕ ɐ
ënnenan	ə n ə n ɑ n
ënner	ə n ɐ
ënnerbannen	ə n ɐ b ɑ n ə n
ënnerbonnen	ə n ɐ b o n ə n
ënnerbeliicht	ə n ɐ b ə l iː ɕ t
ënnerbesat	ə n ɐ b ə s aː t
ënnerbidden	ə n ɐ b i d ə n
ënnerbueden	ə n ɐ b uə d ə n
ënnerbotteren	ə n ɐ b o t ə ʀ ə n
ënnergebottert	ə n ɐ g ə b o t ɐ t
ënnerbreeden	ə n ɐ b ʀ eː d ə n
ënnerbreet	ə n ɐ b ʀ eː t
ënnerbréngen	ə n ɐ b ʀ e ŋ ə n
ënnerbruecht	ə n ɐ b ʀ uə ɕ t
ënnerbriechen	ə n ɐ b ʀ iə ɕ ə n
ënnerbrach	ə n ɐ b ʀ ɑ χ
ënnerbriechung	ə n ɐ b ʀ iə ɕ u ŋ
ënnerbriechungen	ə n ɐ b ʀ iə ɕ u ŋ ə n
ënnerdaach	ə n ɐ d aː χ
ënnerdauchen	ə n ɐ d æːʊ χ ə n
ënnergedaucht	ə n ɐ g ə d æːʊ χ t
ënnerdeelen	ə n ɐ d eː l ə n
ënnerdeelt	ə n ɐ d eː l t
ënnerdeelung	ə n ɐ d eː l u ŋ
ënnerdeelungen	ə n ɐ d eː l u ŋ ə n
ënnerdrécken	ə n ɐ d ʀ e k ə n
ënnerdréckt	ə n ɐ d ʀ e k t
ënnerdreiwen	ə n ɐ d ʀ ɑɪ v ə n
ënnerdriwwen	ə n ɐ d ʀ i v ə n
ënnereesbech	ə n ɐ eː s b æ ɕ
ënnerem	ə n ɐ ə m
ënnerenaner	ə n ɐ ə n aː n ɐ
ënnereneen	ə n ə ʀ ə n eː n
ënnerentwéckelt	ə n ɐ æ n t v e k ə l t
ënnererniert	ə n ɐ ɛ ʀ n iː ɐ t
ënnerfuerderen	ə n ɐ f uː ɐ d ə ʀ ə n
ënnerfuerdert	ə n ɐ f uː ɐ d ɐ t
ënnergang	ə n ɐ g ɑ ŋ
ënnergank	ə n ɐ g ɑ ŋ k
ënnergoen	ə n ɐ g oː ə n
ënnergaangen	ə n ɐ g aː ŋ ə n
ënnergruewen	ə n ɐ g ʀ uə v ə n
ënnergegruewen	ə n ɐ g ə g ʀ uə v ə n
ënnerhalen	ə n ɐ h aː l ə n
ënnerhalt	ə n ɐ h ɑ l t
ënnerhalter	ə n ɐ h ɑ l t ɐ
ënnerhuelen	ə n ɐ h uə l ə n
ënnerholl	ə n ɐ h o l
ënnerierdesch	ə n ɐ iː ɐ d ə ʃ
ënnerkommen	ə n ɐ k o m ə n
ënnerkomm	ə n ɐ k o m
ënnerkréien	ə n ɐ k ʀ ɜɪ ə n
ënnerkritt	ə n ɐ k ʀ i t
ënnerlafen	ə n ɐ l aː f ə n
ënnerlaf	ə n ɐ l aː f
ënnerlag	ə n ɐ l aː χ
ënnerlagen	ə n ɐ l aː ʁ ə n
ënnerlech	ə n ɐ l ə ɕ
ënnerleeën	ə n ɐ l eː ə n
ënnerleien	ə n ɐ l ɑɪ ə n
ënnerleif	ə n ɐ l ɑɪ f
ënnerleiwer	ə n ɐ l ɑɪ v ɐ
ënnerloossen	ə n ɐ l oː s ə n
ënnerlooss	ə n ɐ l oː s
ënnermaueren	ə n ɐ m ɑʊ ə ʀ ə n
ënnermauert	ə n ɐ m ɑʊ ɐ t
ënneroffizéier	ə n ɐ o f i ts ɜɪ ɐ
ënneroffizéiesch	ə n ɐ o f i ts ɜɪ ə ʃ
ënneroffizéieschen	ə n ɐ o f i ts ɜɪ ə ʃ ə n
ënnerplouen	ə n ɐ p l əʊ ə n
ënnergeplout	ə n ɐ g ə p l əʊ t
ënnerschätzen	ə n ɐ ʃ æ ts ə n
ënnerschat	ə n ɐ ʃ aː t
ënnerscheed	ə n ɐ ʃ eː t
ënnerscheeder	ə n ɐ ʃ eː d ɐ
ënnerscheeden	ə n ɐ ʃ eː d ə n
ënnerscheet	ə n ɐ ʃ eː t
ënnerschiddlech	ə n ɐ ʃ i d l ə ɕ
schlënner	ʃ l ə n ɐ
ënnerschloen	ə n ɐ ʃ l oː ə n
ënnerschrëft	ə n ɐ ʃ ʀ ə f t
ënnerschrëften	ə n ɐ ʃ ʀ ə f t ə n
ënnerschreiwen	ə n ɐ ʃ ʀ ɑɪ v ə n
ënnerschriwwen	ə n ɐ ʃ ʀ i v ə n
ënnersichen	ə n ɐ z i ɕ ə n
ënnersicht	ə n ɐ z i ɕ t
ënnerstad	ə n ɐ ʃ t aː t
ënnerstied	ə n ɐ ʃ t iə t
ënnerstand	ə n ɐ ʃ t ɑ n t
ënnerstänn	ə n ɐ ʃ t æ n
ënnerstellen	ə n ɐ ʃ t æ l ə n
ënnerstallt	ə n ɐ ʃ t ɑ l t
ënnergestallt	ə n ɐ g ə ʃ t ɑ l t
ënnerstellung	ə n ɐ ʃ t æ l u ŋ
ënnerstellungen	ə n ɐ ʃ t æ l u ŋ ə n
ënnerstëtzen	ə n ɐ ʃ t ə ts ə n
ënnerstëtzt	ə n ɐ ʃ t ə ts t
ënnerstëtzung	ə n ɐ ʃ t ə ts u ŋ
ënnerstëtzungen	ə n ɐ ʃ t ə ts u ŋ ə n
ënnerstoen	ə n ɐ ʃ t oː ə n
ënnerstanen	ə n ɐ ʃ t aː n ə n
ënnersträichen	ə n ɐ ʃ t ʀ æːɪ ɕ ə n
ënnerstrach	ə n ɐ ʃ t ʀ ɑ χ
ënnert	ə n ɐ t
ënnertauchen	ə n ɐ t æːʊ χ ə n
ënnergetaucht	ə n ɐ g ə t æːʊ χ t
ënnertenaner	ə n ɐ t ə n aː n ɐ
ënnerteneen	ə n ɐ t ə n eː n
ënnertitel	ə n ɐ t i t ə l
ënnertitelen	ə n ɐ t i t ə l ə n
ënneruerdnen	ə n ɐ uː ɐ d n ə n
ënnergeuerdent	ə n ɐ g ə uː ɐ d ə n t
ënnerwäsch	ə n ɐ v æ ʃ
ënnerwee	ə n ɐ v eː
ënnerwerfen	ə n ɐ v ɛ ʀ f ə n
ënnerworf	ə n ɐ v ɔ ʀ f
ënnerzeechnung	ə n ɐ ts eː ɕ n u ŋ
ënnescht	ə n ə ʃ t
enorm	e n ɔ ʀ m
enquête	ɑ̃ː k ɛː ə
enquêten	ɑ̃ː k ɛː ə n
enquêtéieren	ɑ̃ː k ɛː t ɜɪ ə ʀ ə n
enquêtéiert	ɑ̃ː k ɛː t ɜɪ ɐ t
enquêteur	ɑ̃ː k ɛː t œː ʀ
enquêteuren	ɑ̃ː k ɛː t œː ʀ ə n
enquêteuse	ɑ̃ː k ɛː t øː s
enquêteusen	ɑ̃ː k ɛː t øː s ə n
enquêtrice	ɑ̃ː k ɛː t ʀ i s
enquêtricen	ɑ̃ː k ɛː t ʀ i s ə n
enregistréieren	ɑ̃ː ʀ ə g i s t ʀ ɜɪ ə ʀ ə n
enregistréiert	ɑ̃ː ʀ ə g i s t ʀ ɜɪ ɐ t
ënsber	ə n s b ɐ
enseignant	ɑ̃ː s æ ɲ ɑ̃ː
enseignanten	ɑ̃ː s æ ɲ ɑ̃ː ə n
enseignante	ɑ̃ː s æ ɲ ɑ̃ː ə
enseignanteën	ɑ̃ː s æ ɲ ɑ̃ː n t ə n
enseignéieren	ɑ̃ː s æ ɲ ɜɪ ə ʀ ə n
enseignéiert	ɑ̃ː s æ ɲ ɜɪ ɐ t
enseignement	ɑ̃ː s æ ɲ ə m æ n t
ensembel	ɑ̃ː s æ m b ə l
ensembelen	ɑ̃ː s æ m b ə l ə n
entaméieren	ə n t ɑ m ɜɪ ə ʀ ə n
entaméiert	ə n t ɑ m ɜɪ ɐ t
entbannen	ə n t b ɑ n ə n
entbonnen	ə n t b o n ə n
entbieren	ə n t b iː ɐ ʀ ə n
entbiert	ə n t b iː ɐ t
entdaachen	ə n t d aː χ ə n
entdaacht	ə n t d aː χ t
entdecken	ə n t d æ k ə n
entdeckt	ə n t d æ k t
entdecker	ə n t d æ k ɐ
entdeckerin	ə n t d æ k ə ʀ i n
entdeckerinnen	ə n t d æ k ə ʀ i n ə n
entdeckung	ə n t d æ k u ŋ
entdeckungen	ə n t d æ k u ŋ ə n
entdeeën	ə n t d eː ə n
entdeet	ə n t d eː t
enteegnen	ə n t iː ɲ ə n
enteegent	ə n t eː ʑ ə n t
enteegnung	ə n t eː ʑ n u ŋ
enteegnungen	ə n t eː ʑ n u ŋ ə n
entente	ə n t ɑ̃ː t
ententen	ə n t æ n t ə n
entertainer	ə n t ɐ t ɛː n ɐ
enteschbaach	ə n t ə ʃ b aː χ
entfalen	ə n t f aː l ə n
entfall	ə n t f ɑ l
entfaalt	ə n t f aː l t
entféieren	ə n t f ɜɪ ə ʀ ə n
entféiert	ə n t f ɜɪ ɐ t
entféierer	ə n t f ɜɪ ə ʀ ɐ
entféierung	ə n t f ɜɪ ə ʀ u ŋ
entféierungen	ə n t f ɜɪ ə ʀ u ŋ ə n
entfueren	ə n t f uː ɐ ʀ ə n
entfuer	ə n t f uː ɐ
entgeeschtert	ə n t g eː ʃ t ɐ t
entgéint	ə n t g ɜɪ n t
entgéintgesat	ə n t g ɜɪ n t g ə s aː t
entgéintgoen	ə n t g ɜɪ n t g oː ə n
entgéintgaangen	ə n t g ɜɪ n d g aː ŋ ə n
entgéinthalen	ə n t g ɜɪ n t h aː l ə n
entgéintgehalen	ə n t g ɜɪ n t g ə h aː l ə n
entgéinthuelen	ə n t g ɜɪ n t h uə l ə n
entgéintgeholl	ə n t g ɜɪ n t g ə h o l
entgéintkommen	ə n t g ɜɪ n t k o m ə n
entgéintkomm	ə n t g ɜɪ n t k o m
entgéintkucken	ə n t g ɜɪ n t k u k ə n
entgéintgekuckt	ə n t g ɜɪ n t g ə k u k t
entgéintlafen	ə n t g ɜɪ n t l aː f ə n
entgéintgelaf	ə n t g ɜɪ n t g ə l aː f
entgleisen	ə n t g l ɑɪ z ə n
entgleist	ə n t g l ɑɪ s t
entgoen	ə n t g oː ə n
entgaangen	ə n t g aː ŋ ə n
enthalen	ə n t h aː l ə n
enthalung	ə n t h aː l u ŋ
enthalungen	ə n t h aː l u ŋ ə n
enthusiasmus	ə n t h u s j aː s m u s
entierwen	ə n t iː ɐ v ə n
entierft	ə n t iː ɐ f t
entkalleken	ə n t k ɑ l e k ə n
entkallekt	ə n t k ɑ l æ k t
entkommen	ə n t k o m ə n
entkomm	ə n t k o m
entlaaschten	ə n t l aː ʃ t ə n
entlaascht	ə n t l aː ʃ t
entlaaschtung	ə n t l aː ʃ t u ŋ
entlaaschtungen	ə n t l aː ʃ t u ŋ ə n
entlarven	ə n t l aː ʀ v ə n
entlarvt	ə n t l aː ʀ f t
entleeën	ə n t l eː ə n
entlëften	ə n t l ə f t ə n
entlëft	ə n t l ə f t
entloossen	ə n t l oː s ə n
entlooss	ə n t l oː s
entloossung	ə n t l oː s u ŋ
entloossungen	ə n t l oː s u ŋ ə n
entmilitariséieren	ə n t m i l i t ɑ ʀ i z ɜɪ ə ʀ ə n
entmilitariséiert	ə n t m i l i t ɑ ʀ i s ɜɪ ɐ t
entnäipen	ə n t n æːɪ p ə n
entnäipt	ə n t n æːɪ p t
entourage	ɑ̃ː t u ʀ aː ʃ
entrecôte	ɑ̃ː t ʀ ə k oː t
entrecôten	ɑ̃ː t ʀ ə k oː t ə n
entrée	ɑ̃ː t ʀ eː
entréeën	ɑ̃ː t ʀ eː ə n
entreprener	ɑ̃ː t ʀ ə p ʀ ə n ɐ
entrepreneren	ɑ̃ː t ʀ ə p ʀ ə n ə ʀ ə n
entreprenesch	ɑ̃ː t ʀ ə p ʀ ə n ə ʃ
entrepreneschen	ɑ̃ː t ʀ ə p ʀ ə n ə ʃ ə n
entrepreneur	ɑ̃ː t ʀ ə p ʀ ə n ɐ
entrepreneuren	ɑ̃ː t ʀ ə p ʀ ə n œː ʀ ə n
entrepreneurin	ɑ̃ː t ʀ ə p ʀ ə n ɐ i n
entrepreneurinnen	ɑ̃ː t ʀ ə p ʀ ə n ɐ i n ə n
entreprise	ɑ̃ː t ʀ ə p ʀ i z ə
entreprisen	ɑ̃ː t ʀ ə p ʀ i z ə n
entre	ɑ̃ː t ʀ ə
temps	t æ m p s
entretien	ɑ̃ː t ʀ ə t j ɛ̃ː
entrevue	ɑ̃ː t ʀ ə v yː
entrevuen	ɑ̃ː t ʀ ə v yː ə n
entsat	ə n t s aː t
entschäerfen	ə n t ʃ ɛː ɐ f ə n
entschäerft	ə n t ʃ ɛː ɐ f t
entscheeden	ə n t ʃ eː d ə n
entscheet	ə n t ʃ eː t
entscheedend	ə n t ʃ eː d ə n t
entscheedung	ə n t ʃ eː d u ŋ
entscheedungen	ə n t ʃ eː d u ŋ ə n
entschëllegen	ə n t ʃ ə l ə ʑ ə n
entschëllegt	ə n t ʃ ə l ə ɕ t
entschëllegung	ə n t ʃ ə l ə ʑ u ŋ
entschëllegungen	ə n t ʃ ə l ə ʑ u ŋ ə n
entschiedegen	ə n t ʃ i ə d ə ʑ ə n
entschiedegt	ə n t ʃ i ə d ə ɕ t
entschiedegung	ə n t ʃ i ə d ə ʑ u ŋ
entschiedegungen	ə n t ʃ i ə d ə ʑ u ŋ ə n
entschlaken	ə n t ʃ l aː k ə n
entschlaakt	ə n t ʃ l ɑ ɑ k t
entschléissen	ə n t ʃ l ɜɪ s ə n
entschloss	ə n t ʃ l o s
entschlësselen	ə n t ʃ l ə s ə l ə n
entschlësselt	ə n t ʃ l ə s ə l t
entschlofen	ə n t ʃ l oː f ə n
entschlof	ə n t ʃ l oː f
entspanen	ə n t ʃ p aː n ə n
entspaant	ə n t ʃ p aː n t
entspanung	ə n t ʃ p aː n u ŋ
entsprangen	ə n t ʃ p ʀ ɑ ŋ ə n
entsprongen	ə n t ʃ p ʀ o ŋ ə n
entspriechen	ə n t ʃ p ʀ iə ɕ ə n
entsprach	ə n t ʃ p ʀ ɑ χ
entspriechend	ə n t ʃ p ʀ iə ɕ ə n t
entstehung	ə n t ʃ t æ h u ŋ
entstellen	ə n t ʃ t æ l ə n
entstallt	ə n t ʃ t ɑ l t
entstoen	ə n t ʃ t oː ə n
entstanen	ə n t ʃ t aː n ə n
entsuergen	ə n t z uː ɐ ʑ ə n
entsuergt	ə n t z uː ɐ ɕ t
entsuergung	ə n t z uː ɐ ʑ u ŋ
enttäuschen	ɑ̃ː t ɛː u ʃ ə n
enttäuscht	ɑ̃ː t oɪ ʃ t
enttäuschung	ɑ̃ː t ɛː u ʃ u ŋ
enttäuschungen	ɑ̃ː t ɛː u ʃ u ŋ ə n
enttompen	ɑ̃ː t o m p ə n
enttompt	ɑ̃ː t o m p t
entwäerten	ə n t v ɛː ɐ t ə n
entwäert	ə n t v ɛː ɐ t
entwäertung	ə n t v ɛː ɐ t u ŋ
entwäertungen	ə n t v ɛː ɐ t u ŋ ə n
entwarnung	ə n t v ɑ ʀ n u ŋ
entwässeren	ə n t v æ s ə ʀ ə n
entwässert	ə n t v æ s ɐ t
entwéckelen	ə n t v e k ə l ə n
entwéckelt	ə n t v e k ə l t
entwécklung	ə n t v e k l u ŋ
entwécklungen	ə n t v e k l u ŋ ə n
entwécklungshëllef	ə n t v e k l u ŋ s h ə l ə f
entwécklungsland	ə n t v e k l u ŋ s l ɑ n t
entwécklungslänner	ə n t v e k l u ŋ s l æ n ɐ
entweder	ə n t v d ɐ
entwerfen	ə n t v ɛ ʀ f ə n
entworf	ə n t v ɔ ʀ f
entwëschen	ə n t v ə ʃ ə n
entwëscht	ə n t v ə ʃ t
entwërf	ə n t v ɐ f
entwutschen	ə n t v u t ʃ ə n
entwutscht	ə n t v u t ʃ t
entwutzen	ə n t v u ts ə n
entwutzt	ə n t v u ts t
entzéien	ə n t ts ɜɪ ə n
entzunn	ə n t ts u n
entzéiungskur	ə n t ts ɜɪ u ŋ s k uː ɐ
entzéiungskuren	ə n t ts ɜɪ u ŋ s k uː ʀ ə n
entzifferen	ə n t ts i f ə ʀ ə n
entziffert	ə n t ts i f ɐ t
entzuch	ə n t ts u χ
entzünden	ə n t ts y n d ə n
entzünt	ə n t ts y n t
entzündung	ə n t ts y n d u ŋ
entzündungen	ə n t ts y n d u ŋ ə n
enveloppe	ɑ̃ː v ə l o p
enveloppen	ɑ̃ː v ə l o p ə n
envergure	ɑ̃ː v ɛ ʀ ɕ yː ʀ
environnement	ɑ̃ː v iː ʀ o n ə m æ n t
envisagéieren	ɑ̃ː v i z aː ʒ ɜɪ ə ʀ ə n
envisagéiert	ɑ̃ː v i z ɑ ʒ ɜɪ ɐ t
epaulette	e p æːʊ l æ t
epauletten	e p æːʊ l æ t ə n
epicerie	e p i s ə ʀ iː
epicerien	e p i s ə ʀ iː ə n
epicier	e p i s j eː
epicieren	e p i s j eː ə n
epicière	e p i s j ɛː ʀ
epicièren	e p i s j ɛː ʀ ə n
epidemie	e p i d e m iː
epidemien	e p i d e m iː ə n
epilatioun	e p i l ɑ ts j əʊ n
epilatiounen	e p i l ɑ ts j əʊ n ə n
epiléieren	e p i l ɜɪ ə ʀ ə n
epiléiert	e p i l ɜɪ ɐ t
epilepsie	e p i l eː p s iː
epileptesch	e p i l æ p t ə ʃ
epileptiker	e p i l æ p t i k ɐ
epileptikerin	e p i l æ p t i k ə ʀ i n
epileptikerinnen	e p i l æ p t i k ə ʀ i n ə n
episod	e p i z oː t
episoden	e p i z oː d ə n
episode	e p i z oː d ə
epongen	e p ɑ̃ː ʒ ə n
eppelduerf	æ p ə l d u ə f
eppes	æ p ə s
epreuve	eː p ʀ œː f
epreuven	eː p ʀ œː v ə n
equiliber	eː k iː l iː b ɐ
equilibréiert	eː k iː l i b ʀ ɜɪ ɐ t
equipage	eː k i p aː ʃ
equipagen	eː k i p aː ʒ ə n
equipe	eː k i p
equippen	eː k i p ə n
equipéieren	eː k i p ɜɪ ə ʀ ə n
equipéiert	eː k i p ɜɪ ɐ t
equipement	eː k i p ə m æ n t
equipementer	eː k i p ə m æ n t ɐ
equipier	eː k i p j eː
equipieren	eː k i p iː ʀ ə n
equipière	eː k i p j ɛː ʀ
equipièren	eː k i p j ɛː ʀ ə n
equivalent	eː k iː v aː l æ n t
equivalenz	eː k iː v aː l æ n ts
equivalenzen	eː k iː v aː l æ n ts ə n
er	ɐ
erabréngen	ə ʀ ɑ b ʀ e ŋ ə n
erabruecht	ə ʀ ɑ b ʀ uə ɕ t
erafalen	ə ʀ ɑ f aː l ə n
eragefall	ə ʀ ɑ g ə f ɑ l
erafeieren	ə ʀ ɑ f ɑɪ ə ʀ ə n
eragefeiert	ə ʀ ɑ g ə f ɑɪ ɐ t
eraféieren	ə ʀ ɑ f ɜɪ ə ʀ ə n
erageféiert	ə ʀ ɑ g ə f ɜɪ ɐ t
eragefouert	ə ʀ ɑ g ə f əʊ ɐ t
erafléien	ə ʀ ɑ f l ɜɪ ə n
erageflunn	ə ʀ ɑ g ə f l u n
erafriessen	ə ʀ ɑ f ʀ iə s ə n
eragefriess	ə ʀ ɑ g ə f ʀ iə s
erafueren	ə ʀ ɑ f uː ɐ ʀ ə n
eragefuer	ə ʀ ɑ g ə f uː ɐ
eragesinn	ə ʀ ɑ g ə z i n
eraginn	ə ʀ ɑ g i n
eragoen	ə ʀ ɑ g oː ə n
eragaangen	ə ʀ ɑ g aː ŋ ə n
eraklammen	ə ʀ ɑ k l ɑ m ə n
erageklommen	ə ʀ ɑ g ə k l o m ə n
eraknéien	ə ʀ ɑ k n ɜɪ ə n
erageknéit	ə ʀ ɑ g e k n ɜɪ t
erakommen	ə ʀ ɑ k o m ə n
erakomm	ə ʀ ɑ k o m
erakréien	ə ʀ ɑ k ʀ ɜɪ ə n
erakritt	ə ʀ ɑ k ʀ i t
erakucken	ə ʀ ɑ k u k ə n
eragekuckt	ə ʀ ɑ g ə k u k t
eralackelen	ə ʀ ɑ l ɑ k ə l ə n
eragelackelt	ə ʀ ɑ g ə l ɑ k ə l t
eralafen	ə ʀ ɑ l aː f ə n
eragelaf	ə ʀ ɑ g ə l aː f
eraleeën	ə ʀ ɑ l eː ə n
erageluecht	ə ʀ ɑ g ə l uə ɕ t
eraloossen	ə ʀ ɑ l oː s ə n
eragelooss	ə ʀ ɑ g ə l oː s
eramailen	ə ʀ ɑ m ɑɪ j ə n
eragemailt	ə ʀ ɑ g ə m ɑɪ l t
eramarschéieren	ə ʀ ɑ m aː ʀ ʃ ɜɪ ə ʀ ə n
eramarschéiert	ə ʀ ɑ m aː ʀ ʃ ɜɪ ɐ t
erandrécken	ə ʀ ɑ n d ʀ e k ə n
eragedréckt	ə ʀ ɑ g ə d ʀ e k t
erandreiwen	ə ʀ ɑ n d ʀ ɑɪ v ə n
eragedriwwen	ə ʀ ɑ g ə d ʀ i v ə n
erandroen	ə ʀ ɑ n d ʀ oː ə n
eragedroen	ə ʀ ɑ g ə d ʀ oː ə n
eranhuelen	ə ʀ ɑ n h uə l ə n
erageholl	ə ʀ ɑ g ə h o l
erantrëllen	ə ʀ ɑ n t ʀ ə l ə n
eragetrollt	ə ʀ ɑ g e t ʀ o l t
eranzéien	ə ʀ ɑ n ts ɜɪ ə n
eragezunn	ə ʀ ɑ g ə ts u n
erapassen	ə ʀ ɑ p ɑ s ə n
eragepasst	ə ʀ ɑ g ə p ɑ s t
eraplatzen	ə ʀ ɑ p l ɑ ts ə n
erageplatzt	ə ʀ ɑ g ə p l ɑ ts t
eraplënneren	ə ʀ ɑ p l ə n ə ʀ ə n
erageplënnert	ə ʀ ɑ g ə p l ə n ɐ t
eraquëtschen	ə ʀ ɑ k ə t ʃ ə n
eragequëtscht	ə ʀ ɑ g e k ə t ʃ t
eraréckelen	ə ʀ ɑ ʀ e k ə l ə n
erageréckelt	ə ʀ ɑ g ə ʀ e k ə l t
erareechen	ə ʀ ɑ ʀ eː ɕ ə n
eragereecht	ə ʀ ɑ g ə ʀ eː ɕ t
erareenen	ə ʀ ɑ ʀ eː n ə n
eragereent	ə ʀ ɑ g ə ʀ eː n t
eraruffen	ə ʀ ɑ ʀ u f ə n
erageruff	ə ʀ ɑ g ə ʀ u f
eraschécken	ə ʀ ɑ ʃ e k ə n
erageschéckt	ə ʀ ɑ g ə ʃ e k t
eraschéngen	ə ʀ ɑ ʃ e ŋ ə n
erageschéngt	ə ʀ ɑ g ə ʃ e ŋ t
eraschläichen	ə ʀ ɑ ʃ l æːɪ ɕ ə n
erageschlach	ə ʀ ɑ g ə ʃ l ɑ χ
eraschleefen	ə ʀ ɑ ʃ l eː f ə n
erageschleeft	ə ʀ ɑ g ə ʃ l eː f t
eraschloen	ə ʀ ɑ ʃ l oː ə n
erageschloen	ə ʀ ɑ g ə ʃ l oː ə n
eraschmuggelen	ə ʀ ɑ ʃ m y g ʒ ə l ə n
erageschmuggelt	ə ʀ ɑ g ə ʃ m y g ʒ æ l t
eraschneien	ə ʀ ɑ ʃ n ɑɪ ə n
erageschneit	ə ʀ ɑ g ə ʃ n ɑɪ t
eraspadséieren	ə ʀ ɑ ʃ p ɑ d z ɜɪ ə ʀ ə n
eraspadséiert	ə ʀ ɑ ʃ p ɑ d z ɜɪ ɐ t
erastellen	ə ʀ ɑ ʃ t æ l ə n
eragestallt	ə ʀ ɑ g ə ʃ t ɑ l t
